Site,Year,month,day,time,Temp,rH,VPD
CH,2011,12,1,400,-2.6,72.3,0.139661889
CH,2011,12,1,500,-2.7,77.4,0.113100854
CH,2011,12,1,600,-2.9,76.8,0.114381458
CH,2011,12,1,700,-3.1,84,0.077711732
CH,2011,12,1,800,-3.5,82,0.084840499
CH,2011,12,1,900,-3.4,77.8,0.105425798
CH,2011,12,1,1000,-3.8,80,0.092162464
CH,2011,12,1,1100,-4.1,86.1,0.06261908
CH,2011,12,1,1200,-4,82,0.081704248
CH,2011,12,1,1300,-4.2,81,0.084949804
CH,2011,12,1,1400,-4.8,86.5,0.057674498
CH,2011,12,1,1500,-4.4,81,0.083673437
CH,2011,12,1,1600,-4.6,86.3,0.059424884
CH,2011,12,1,1700,-4.8,87,0.055538406
CH,2011,12,1,1800,-4.7,84,0.068876384
CH,2011,12,1,1900,-4.3,82,0.079872141
CH,2011,12,1,2000,-4.3,80,0.088746824
CH,2011,12,1,2100,-4.3,80.8,0.085196951
CH,2011,12,1,2200,-4.4,82,0.079269571
CH,2011,12,1,2300,-4.2,82,0.080478762
CH,2011,12,2,0,-4.6,83.8,0.070268841
CH,2011,12,2,100,-4.5,82,0.078671029
CH,2011,12,2,200,-4.5,81,0.083041641
CH,2011,12,2,300,-4.5,81.3,0.081730458
CH,2011,12,2,400,-4.4,80.7,0.084994596
CH,2011,12,2,500,-4.3,78,0.097621506
CH,2011,12,2,600,-4.5,80,0.087412254
CH,2011,12,2,700,-4.5,83,0.074300416
CH,2011,12,2,800,-5,91,0.037868956
CH,2011,12,2,900,-5.2,92.8,0.029836821
CH,2011,12,2,1000,-5.3,91,0.03701245
CH,2011,12,2,1100,-5.5,92,0.032400906
CH,2011,12,2,1200,-5.8,93,0.027706788
CH,2011,12,2,1300,-5.8,94,0.023748675
CH,2011,12,2,1400,-5.8,93.4,0.026123543
CH,2011,12,2,1500,-5.9,94,0.023567158
CH,2011,12,2,1600,-5.4,90,0.040811983
CH,2011,12,2,1700,-5.5,92,0.032400906
CH,2011,12,2,1800,-5.8,94,0.023748675
CH,2011,12,2,1900,-4.5,79.8,0.088286377
CH,2011,12,2,2000,-3.1,60,0.19427933
CH,2011,12,2,2100,-3.4,72,0.132969475
CH,2011,12,2,2200,-2.2,54,0.238941083
CH,2011,12,2,2300,-1.6,50.4,0.269360262
CH,2011,12,3,0,-1.8,51.5,0.259516548
CH,2011,12,3,100,-1.6,54,0.249809921
CH,2011,12,3,200,-2.4,66,0.174000328
CH,2011,12,3,300,-1.4,53.2,0.257937917
CH,2011,12,3,400,-1.1,53,0.26483341
CH,2011,12,3,500,-1.3,51,0.27206334
CH,2011,12,3,600,-0.3,40,0.358525926
CH,2011,12,3,700,-1.8,71.2,0.154104672
CH,2011,12,3,800,-2.7,72,0.140124952
CH,2011,12,3,900,-2.9,74,0.128186117
CH,2011,12,3,1000,-2.8,70,0.149016789
CH,2011,12,3,1100,-3.1,74,0.126281564
CH,2011,12,3,1200,-3,67.3,0.160017059
CH,2011,12,3,1300,-3.1,71,0.140852514
CH,2011,12,3,1400,-3.1,68,0.155423464
CH,2011,12,3,1500,-3.6,79,0.098239007
CH,2011,12,3,1600,-3.6,80,0.093560959
CH,2011,12,3,1700,-3.1,79.6,0.099082458
CH,2011,12,3,1800,-3.3,79,0.100478606
CH,2011,12,3,1900,-2.8,72,0.139082337
CH,2011,12,3,2000,-3.2,83.9,0.077613584
CH,2011,12,3,2100,-2.4,82,0.092117821
CH,2011,12,3,2200,-2.2,67.1,0.170894818
CH,2011,12,3,2300,-1.8,63.3,0.196376439
CH,2011,12,4,0,-2.4,71,0.148412045
CH,2011,12,4,100,-1.9,71,0.154029142
CH,2011,12,4,200,-1.3,63.5,0.202659427
CH,2011,12,4,300,-1.6,66.4,0.182469855
CH,2011,12,4,400,-1.5,67,0.180541028
CH,2011,12,4,500,-0.2,63,0.222713007
CH,2011,12,4,600,-1.3,66.7,0.184892025
CH,2011,12,4,700,-1.3,62,0.210987896
CH,2011,12,4,800,-1.2,60,0.223735962
CH,2011,12,4,900,-1.4,65,0.192902289
CH,2011,12,4,1000,-2.4,76,0.122823761
CH,2011,12,4,1100,-3.3,78.3,0.103827892
CH,2011,12,4,1200,-3.2,77,0.110876549
CH,2011,12,4,1300,-4.3,79,0.093184165
CH,2011,12,4,1400,-4.4,74,0.114500492
CH,2011,12,4,1500,-1.4,45,0.303132168
CH,2011,12,4,1600,-2.8,57.5,0.211107118
CH,2011,12,4,1700,-2.8,58,0.208623505
CH,2011,12,4,1800,-3.6,65,0.163731679
CH,2011,12,4,1900,-2.6,58,0.21176171
CH,2011,12,4,2000,-0.9,53.5,0.265899708
CH,2011,12,4,2100,-1.6,53.2,0.254154441
CH,2011,12,4,2200,-1.9,60,0.212453989
CH,2011,12,4,2300,-1.3,56,0.244301775
CH,2011,12,5,0,-2,60,0.210884033
CH,2011,12,5,100,-0.2,55.8,0.266051754
CH,2011,12,5,200,-0.9,62.8,0.212719767
CH,2011,12,5,300,-0.2,62,0.228732277
CH,2011,12,5,400,-0.6,58,0.245515362
CH,2011,12,5,500,-0.1,60,0.242535703
CH,2011,12,5,600,-1,66.4,0.190726289
CH,2011,12,5,700,-0.6,55.1,0.262467613
CH,2011,12,5,800,-1.2,66,0.190175567
CH,2011,12,5,900,-1,65,0.198673218
CH,2011,12,5,1000,-2.4,71,0.148412045
CH,2011,12,5,1100,-3.6,70,0.140341439
CH,2011,12,5,1200,-3.3,60,0.19138782
CH,2011,12,5,1300,-4.5,69,0.135488994
CH,2011,12,5,1400,-4.7,62,0.163581411
CH,2011,12,5,1500,-5.8,65,0.138533939
CH,2011,12,5,1600,-5.6,68,0.128615619
CH,2011,12,5,1700,-5.9,71.5,0.111944001
CH,2011,12,5,1800,-5.3,74,0.106924855
CH,2011,12,5,1900,-3.9,68.9,0.142236127
CH,2011,12,5,2000,-3.7,72,0.130003136
CH,2011,12,5,2100,-2.9,72,0.138046587
CH,2011,12,5,2200,-1.6,67.5,0.176496139
CH,2011,12,5,2300,-0.4,55.9,0.261595728
CH,2011,12,6,0, , ,#VALUE!
CH,2011,12,6,100,-3, ,#VALUE!
CH,2011,12,6,200,-2,69,0.163435126
CH,2011,12,6,300,-2,69,0.163435126
CH,2011,12,6,400,-0.7,73.5,0.153776449
CH,2011,12,6,500,-1.2,72.4,0.154377814
CH,2011,12,6,600,-1.6,73,0.146627562
CH,2011,12,6,700,-2.3,74,0.134053085
CH,2011,12,6,800,-2.3,78,0.113429534
CH,2011,12,6,900,-3.2,80.1,0.095932319
CH,2011,12,6,1000,-3.6,81.2,0.087947302
CH,2011,12,6,1100,-4.5,82,0.078671029
CH,2011,12,6,1200,-4.8,80,0.085443701
CH,2011,12,6,1300,-4.9,78,0.093275925
CH,2011,12,6,1400,-4.5,79.5,0.08959756
CH,2011,12,6,1500,-5.1,83.9,0.067229171
CH,2011,12,6,1600,-4.8,83,0.072627146
CH,2011,12,6,1700,-4.9,81,0.080556481
CH,2011,12,6,1800,-4.8,81,0.081171516
CH,2011,12,6,1900,-4.9,82.7,0.073348795
CH,2011,12,6,2000,-4.5,79.2,0.090908744
CH,2011,12,6,2100,-4.2,78,0.098362931
CH,2011,12,6,2200,-3.4,75.7,0.115398508
CH,2011,12,6,2300,-3.4,77,0.109224926
CH,2011,12,7,0,-3,70,0.146804641
CH,2011,12,7,100,-2.4,65.1,0.178606219
CH,2011,12,7,200,-2,66,0.179251428
CH,2011,12,7,300,-2.1,67,0.172692581
CH,2011,12,7,400,-1.8,65,0.187279983
CH,2011,12,7,500,-1,61.9,0.216269989
CH,2011,12,7,600,-1.1,62,0.214120629
CH,2011,12,7,700,-2.1,75,0.130827713
CH,2011,12,7,800,-2.2,72.6,0.142325775
CH,2011,12,7,900,-2.7,82,0.090080326
CH,2011,12,7,1000,-3,77.6,0.109614132
CH,2011,12,7,1100,-3,81,0.092976273
CH,2011,12,7,1200,-4.1,73,0.121634184
CH,2011,12,7,1300,-4,70.5,0.133904184
CH,2011,12,7,1400,-5.2,76,0.099456069
CH,2011,12,7,1500,-6.2,80.8,0.073695868
CH,2011,12,7,1600,-6.4,74,0.098270817
CH,2011,12,7,1700,-6.6,69,0.115374667
CH,2011,12,7,1800,-5.6,58.7,0.165994533
CH,2011,12,7,1900,-4.5,57,0.187936346
CH,2011,12,7,2000,-1.4,50.4,0.2733701
CH,2011,12,7,2100,-1.7,51,0.26414053
CH,2011,12,7,2200,-2.2,54.1,0.238421646
CH,2011,12,7,2300,-2,52,0.25306084
CH,2011,12,8,0,-2.4,60.9,0.200100378
CH,2011,12,8,100,-2.1,73,0.14129393
CH,2011,12,8,200,-0.8,63,0.213136349
CH,2011,12,8,300,-1.1,,0.563475341
CH,2011,12,8,400,-0.8,62.1,0.218320747
CH,2011,12,8,500,-1.2,66,0.190175567
CH,2011,12,8,600,-1.2,64,0.201362366
CH,2011,12,8,700,-1.2,71,0.162208572
CH,2011,12,8,800,-1.8,68.4,0.16908707
CH,2011,12,8,900,-2.8,85,0.074508395
CH,2011,12,8,1000,-3.4,87,0.061735827
CH,2011,12,8,1100,-3.5,86,0.065987055
CH,2011,12,8,1200,-3.5,87,0.061273694
CH,2011,12,8,1300,-4.4,82.4,0.077508025
CH,2011,12,8,1400,-4.2,83,0.076007719
CH,2011,12,8,1500,-4.1,82,0.081089456
CH,2011,12,8,1600,-3.7,68,0.148575012
CH,2011,12,8,1700,-3.8,64,0.165892436
CH,2011,12,8,1800,-3.2,62.1,0.18270527
CH,2011,12,8,1900,-3.3,69,0.148325561
CH,2011,12,8,2000,-3.3,79.2,0.099521666
CH,2011,12,8,2100,-3.1,79.7,0.09859676
CH,2011,12,8,2200,-3.2,77.6,0.107984117
CH,2011,12,8,2300,-2.8,78.9,0.104808475
CH,2011,12,9,0,-1.6,69,0.168350164
CH,2011,12,9,100,-1,63.8,0.205484871
CH,2011,12,9,200,-1.2,61.3,0.216464543
CH,2011,12,9,300,-0.8,62.2,0.217744702
CH,2011,12,9,400,-0.8,64,0.207375907
CH,2011,12,9,500,-1,66,0.19299684
CH,2011,12,9,600,-1.2,66.6,0.186819528
CH,2011,12,9,700,-1.7,68,0.172499938
CH,2011,12,9,800,-1.5,59,0.22430855
CH,2011,12,9,900,-1.3,59,0.227644835
CH,2011,12,9,1000,-2.1,66,0.17792569
CH,2011,12,9,1100,-1.7,60.3,0.214007736
CH,2011,12,9,1200,-3.3,81,0.090909215
CH,2011,12,9,1300,-3.3,70,0.143540865
CH,2011,12,9,1400,-5.1,82,0.075163049
CH,2011,12,9,1500,-5.1,78,0.091865948
CH,2011,12,9,1600,-4.9,73.6,0.11193111
CH,2011,12,9,1700,-5.6,78,0.088423238
CH,2011,12,9,1800,-6.1,83,0.065755453
CH,2011,12,9,1900,-4.7,73.5,0.11407651
CH,2011,12,9,2000,-3.5,67,0.155540916
CH,2011,12,9,2100,-3.2,71.2,0.138836722
CH,2011,12,9,2200,-2.6,75,0.126048637
CH,2011,12,9,2300,-2.4,73.3,0.136641434
CH,2011,12,10,0,-2.2,74.6,0.131937033
CH,2011,12,10,100,-1,63.4,0.207755422
CH,2011,12,10,200,-1.4,78.6,0.117945971
CH,2011,12,10,300,-0.7,66,0.197298086
CH,2011,12,10,400,-1.4,77,0.126764361
CH,2011,12,10,500,-1.6,80.2,0.107526879
CH,2011,12,10,600,-1.2,78,0.123054779
CH,2011,12,10,700,-1.5,79.4,0.112701369
CH,2011,12,10,800,-1.7,81,0.102421838
CH,2011,12,10,900,-2,80,0.105442017
CH,2011,12,10,1000,-2.4,79,0.107470791
CH,2011,12,10,1100,-3,84,0.078295808
CH,2011,12,10,1200,-3.3,84.7,0.073205841
CH,2011,12,10,1300,-4.9,92,0.033918518
CH,2011,12,10,1400,-5.7,95,0.019942858
CH,2011,12,10,1500,-5,90,0.042076618
CH,2011,12,10,1600,-4.8,89,0.046994036
CH,2011,12,10,1700,-4.8,88.1,0.050839002
CH,2011,12,10,1800,-4.8,86,0.059810591
CH,2011,12,10,1900,-4.8,86,0.059810591
CH,2011,12,10,2000,-5.1,87,0.054284424
CH,2011,12,10,2100,-4.5,88,0.052447352
CH,2011,12,10,2200,-5.2,91.5,0.035224024
CH,2011,12,10,2300,-5.3,91.2,0.036189951
CH,2011,12,11,0,-5,89.5,0.044180449
CH,2011,12,11,100,-4.9,85.2,0.062749259
CH,2011,12,11,200,-4.7,87,0.055962062
CH,2011,12,11,300,-4.3,83.4,0.073659864
CH,2011,12,11,400,-4.5,85,0.065559191
CH,2011,12,11,500,-4.2,83.5,0.073772198
CH,2011,12,11,600,-4.6,86.3,0.059424884
CH,2011,12,11,700,-5,87,0.054699603
CH,2011,12,11,800,-4.6,83,0.073738907
CH,2011,12,11,900,-4.4,81,0.083673437
CH,2011,12,11,1000,-4.3,83,0.0754348
CH,2011,12,11,1100,-4.6,82,0.07807649
CH,2011,12,11,1200,-4.8,82,0.076899331
CH,2011,12,11,1300,-4.8,85,0.064082776
CH,2011,12,11,1400,-5,86,0.058907265
CH,2011,12,11,1500,-4.8,84,0.068354961
CH,2011,12,11,1600,-5.2,86.4,0.056358439
CH,2011,12,11,1700,-5.2,86,0.05801604
CH,2011,12,11,1800,-5.2,85,0.062160043
CH,2011,12,11,1900,-5.1,83,0.070987324
CH,2011,12,11,2000,-4.7,81,0.081790706
CH,2011,12,11,2100,-4.4,79,0.092481167
CH,2011,12,11,2200,-4,80,0.090782497
CH,2011,12,11,2300,-3.5,77.5,0.106050624
CH,2011,12,12,0,-3.4,77.1,0.108750035
CH,2011,12,12,100,-3,73,0.132124177
CH,2011,12,12,200,-3.2,74.1,0.124856636
CH,2011,12,12,300,-3,69.4,0.149740734
CH,2011,12,12,400,-2.5,69,0.157469968
CH,2011,12,12,500,-2.4,69.6,0.155576764
CH,2011,12,12,600,-2,73,0.142346723
CH,2011,12,12,700,-2.4,74,0.133059075
CH,2011,12,12,800,-2.3,74,0.134053085
CH,2011,12,12,900,-1.9,72.7,0.144999847
CH,2011,12,12,1000,-2.4,75.1,0.127429652
CH,2011,12,12,1100,-3.3,81,0.090909215
CH,2011,12,12,1200,-3.1,80,0.097139665
CH,2011,12,12,1300,-3.3,79,0.100478606
CH,2011,12,12,1400,-3.3,78.8,0.101435545
CH,2011,12,12,1500,-3.1,81,0.092282682
CH,2011,12,12,1600,-3.6,84,0.074848768
CH,2011,12,12,1700,-3.6,82,0.084204863
CH,2011,12,12,1800,-3.1,76,0.116567598
CH,2011,12,12,1900,-3.3,81,0.090909215
CH,2011,12,12,2000,-3.4,81.9,0.085955268
CH,2011,12,12,2100,-3.2,81.5,0.089183311
CH,2011,12,12,2200,-3.3,84.9,0.072248902
CH,2011,12,12,2300,-2.5,64,0.182868349
CH,2011,12,13,0,-1.8,64,0.192630839
CH,2011,12,13,100,-1.8,65.7,0.183534383
CH,2011,12,13,200,-1.8,62.9,0.198516782
CH,2011,12,13,300,-0.7,60,0.232115395
CH,2011,12,13,400,-2.4,69.6,0.155576764
CH,2011,12,13,500,-2.3,69,0.159832525
CH,2011,12,13,600,-2.1,63.6,0.19048515
CH,2011,12,13,700,-2.2,63,0.19219174
CH,2011,12,13,800,-2.1,64.2,0.187345285
CH,2011,12,13,900,-1.6,52.7,0.256869766
CH,2011,12,13,1000,-1.9,55,0.239010738
CH,2011,12,13,1100,-1.9,60,0.212453989
CH,2011,12,13,1200,-2.7,60,0.200178503
CH,2011,12,13,1300,-2.8,69,0.153984015
CH,2011,12,13,1400,-2.5,63,0.187948026
CH,2011,12,13,1500,-3,74,0.127230689
CH,2011,12,13,1600,-2.9,71,0.142976822
CH,2011,12,13,1700,-2.9,78,0.108465176
CH,2011,12,13,1800,-2.7,73,0.13512049
CH,2011,12,13,1900,-2.4,70.4,0.151482639
CH,2011,12,13,2000,-2.2,67.6,0.168297632
CH,2011,12,13,2100,-2.9,79,0.10353494
CH,2011,12,13,2200,-2.5,79,0.106673204
CH,2011,12,13,2300,-2.7,75,0.125111564
CH,2011,12,14,0,-1.2,69,0.17339537
CH,2011,12,14,100,-1.1,70,0.169042602
CH,2011,12,14,200,-0.9,68.2,0.181841091
CH,2011,12,14,300,-1.7,72,0.150937446
CH,2011,12,14,400,-1.1,70,0.169042602
CH,2011,12,14,500,-1.7,70.6,0.158484318
CH,2011,12,14,600,-1.6,75,0.135766261
CH,2011,12,14,700,-1.5,69.1,0.169052054
CH,2011,12,14,800,-2,77,0.121258319
CH,2011,12,14,900,-2.2,81,0.098693056
CH,2011,12,14,1000,-2.3,82,0.092805982
CH,2011,12,14,1100,-2.2,81,0.098693056
CH,2011,12,14,1200,-2.7,78.2,0.109097284
CH,2011,12,14,1300,-3.2,81,0.091593671
CH,2011,12,14,1400,-4.2,85,0.067065635
CH,2011,12,14,1500,-5,87,0.054699603
CH,2011,12,14,1600,-5.1,86,0.058460149
CH,2011,12,14,1700,-5.1,85.7,0.059712866
CH,2011,12,14,1800,-5.4,89.2,0.044076941
CH,2011,12,14,1900,-4.8,79.6,0.087152575
CH,2011,12,14,2000,-3.9,78,0.100617196
CH,2011,12,14,2100,-3.2,80,0.096414391
CH,2011,12,14,2200,-2.7,85,0.075066939
CH,2011,12,14,2300,-2.9,80,0.098604705
CH,2011,12,15,0,-2.2,79.5,0.106484613
CH,2011,12,15,100,-0.7,74.2,0.14971443
CH,2011,12,15,200,-1,73,0.153262197
CH,2011,12,15,300,-0.7,73,0.156677892
CH,2011,12,15,400,-0.9,73,0.154393379
CH,2011,12,15,500,-0.8,64.1,0.206799863
CH,2011,12,15,600,-1.2,68,0.178988769
CH,2011,12,15,700,-1.4,63,0.203925277
CH,2011,12,15,800,-1.4,59,0.225971252
CH,2011,12,15,900,-1.4,60,0.220459758
CH,2011,12,15,1000,-1.7,70.7,0.157945256
CH,2011,12,15,1100,-1.9,73.6,0.140219633
CH,2011,12,15,1200,-1.7,66,0.183281184
CH,2011,12,15,1300,-2,62,0.200339832
CH,2011,12,15,1400,-2.3,61,0.201079628
CH,2011,12,15,1500,-2.9,57,0.212000116
CH,2011,12,15,1600,-2.8,58.6,0.205643169
CH,2011,12,15,1700,-3.6,64.9,0.164199484
CH,2011,12,15,1800,-3.2,57,0.20729094
CH,2011,12,15,1900,-2.9,65,0.172558234
CH,2011,12,15,2000,-2.2,57,0.223357969
CH,2011,12,15,2100,-1.3,55.7,0.245967469
CH,2011,12,15,2200,-1.8,71.2,0.154104672
CH,2011,12,15,2300,-1,61,0.221378729
CH,2011,12,16,0,-0.1,64,0.218282132
CH,2011,12,16,100,0.1, ,#VALUE!
CH,2011,12,16,200,0.1,63,0.227642291
CH,2011,12,16,300,0.1,61.9,0.234410034
CH,2011,12,16,400,-0.1,64.7,0.214037758
CH,2011,12,16,500,,67.3,0.19972506
CH,2011,12,16,600,-0.6,61,0.22797855
CH,2011,12,16,700,-1,64,0.204349596
CH,2011,12,16,800,-1.2,65.2,0.194650287
CH,2011,12,16,900,-1.7,70,0.161718692
CH,2011,12,16,1000,-1.8,74,0.139122273
CH,2011,12,16,1100,-1.9,75,0.132783743
CH,2011,12,16,1200,-2,79,0.110714118
CH,2011,12,16,1300,-2.1,76.7,0.121931429
CH,2011,12,16,1400,-2.1,76,0.125594605
CH,2011,12,16,1500,-2.1,71.4,0.149666904
CH,2011,12,16,1600,-2.2,80,0.103887427
CH,2011,12,16,1700,-2.3,81,0.09796187
CH,2011,12,16,1800,-2.1,73.9,0.136584133
CH,2011,12,16,1900,-2.1,63,0.193625016
CH,2011,12,16,2000,-2.2,76.9,0.119989979
CH,2011,12,16,2100,-2.7,82,0.090080326
CH,2011,12,16,2200,-2.6,85.3,0.074116598
CH,2011,12,16,2300,-3.1,92.8,0.034970279
CH,2011,12,17,0,-3.4,93,0.033242369
CH,2011,12,17,100,-2.7,87.2,0.064057121
CH,2011,12,17,200,-2.2,85,0.07791557
CH,2011,12,17,300,-1.1,70.6,0.16566175
CH,2011,12,17,400,-1.3,62.4,0.208766971
CH,2011,12,17,500,-1.1,60,0.225390136
CH,2011,12,17,600,-1,64,0.204349596
CH,2011,12,17,700,-2,63,0.195067731
CH,2011,12,17,800,-2.3,71.4,0.147458394
CH,2011,12,17,900,-1.9,71.9,0.149248927
CH,2011,12,17,1000,-2,68,0.168707227
CH,2011,12,17,1100,-2.7,80,0.100089252
CH,2011,12,17,1200,-1.8,63,0.197981696
CH,2011,12,17,1300,-2.5,70.4,0.150358421
CH,2011,12,17,1400,-2.8,72.2,0.138088891
CH,2011,12,17,1500,-2.7,74,0.130116027
CH,2011,12,17,1600,-2.6,75,0.126048637
CH,2011,12,17,1700,-1.4,56,0.242505734
CH,2011,12,17,1800,-3.2,86.9,0.063151426
CH,2011,12,17,1900,-2.4,75,0.127941418
CH,2011,12,17,2000,-1.9,66.7,0.176867946
CH,2011,12,17,2100,-0.4,57.9,0.249731976
CH,2011,12,17,2200,-0.9,48,0.297350212
CH,2011,12,17,2300,-1.7,58.2,0.225328044
CH,2011,12,18,0,-0.6,53,0.274743381
CH,2011,12,18,100,-0.9,59.4,0.232161896
CH,2011,12,18,200,-0.7,58.4,0.241400011
CH,2011,12,18,300,-1.2,54.7,0.253380977
CH,2011,12,18,400,-0.6,54,0.268897777
CH,2011,12,18,500,-1.4,53,0.259040216
CH,2011,12,18,600,-0.7,42.1,0.335987034
CH,2011,12,18,700,-1,41.9,0.329797542
CH,2011,12,18,800,-1.5,41.3,0.321144193
CH,2011,12,18,900,-2.4,44,0.286588776
CH,2011,12,18,1000,-2.6,48,0.262181164
CH,2011,12,18,1100,-2.4,44.7,0.283006416
CH,2011,12,18,1200,-4.3,65,0.155306941
CH,2011,12,18,1300,-4.2,60.2,0.177947484
CH,2011,12,18,1400,-2.5,38,0.314939935
CH,2011,12,18,1500,-2.9,40,0.295814115
CH,2011,12,18,1600,-2.9,41,0.29088388
CH,2011,12,18,1700,-2.9,37,0.310604821
CH,2011,12,18,1800,-2.6,37.8,0.313609008
CH,2011,12,18,1900,-2,32.8,0.354285176
CH,2011,12,18,2000,-1.6,31,0.374714881
CH,2011,12,18,2100,-0.7,28.6,0.41432598
CH,2011,12,18,2200,0,27,0.4458694
CH,2011,12,18,2300,0.6,25.2,0.477248349
CH,2011,12,19,0,0.9,21,0.515125029
CH,2011,12,19,100,-1,43.6,0.3201477
CH,2011,12,19,200,-0.7,50.5,0.287242801
CH,2011,12,19,300,-0.6,55,0.263052173
CH,2011,12,19,400,-0.4,53,0.278798168
CH,2011,12,19,500,-0.8,52.5,0.273620989
CH,2011,12,19,600,-1.6,47,0.287824474
CH,2011,12,19,700,-1.6,49.8,0.272618652
CH,2011,12,19,800,-1.4,52,0.26455171
CH,2011,12,19,900,-1.3,44,0.310929531
CH,2011,12,19,1000,-1.3,53,0.260958714
CH,2011,12,19,1100,-2.6,52,0.242013382
CH,2011,12,19,1200,-2.8,42.8,0.284125345
CH,2011,12,19,1300,-3.4,56,0.208952032
CH,2011,12,19,1400,-5.3,82,0.074024899
